Date,Variable,Bulgaria,Czechia,Hungary,Poland,Romania,Slovakia,Ukraine,East Europe Cop,Anicca
1985,nuclear_electricity,13.13,2.4,6.48,0,0,9.38,53.31,84.7,9.662331736
1986,nuclear_electricity,12.07,6.15,7.42,0,0,11.72,42.71,80.07,9.134154689
1987,nuclear_electricity,12.44,10.7,10.99,0,0,11.51,50.43,96.07,10.95938855
1988,nuclear_electricity,16.03,11.82,13.45,0,0,11.47,72,124.77,14.23340178
1989,nuclear_electricity,14.57,12.42,13.89,0,0,12.16,66.52,119.56,13.63906
1990,nuclear_electricity,14.66,12.59,13.73,0,0,12.04,76.18,129.2,14.7387634
1991,nuclear_electricity,13.18,12.13,13.73,0,0,11.69,75.13,125.86,14.35774584
1992,nuclear_electricity,11.55,12.25,13.96,0,0,11.05,73.75,122.56,13.98129135
1993,nuclear_electricity,13.97,12.63,13.8,0,0,11.49,75.24,127.13,14.50262377
1994,nuclear_electricity,15.34,12.98,14.05,0,0,12.6,68.85,123.82,14.12502852
1995,nuclear_electricity,17.26,12.23,14.03,0,0,11.44,70.52,125.48,14.31439653
1996,nuclear_electricity,18.08,12.85,14.18,0,1.39,11.25,79.58,137.33,15.66621036
1997,nuclear_electricity,17.75,12.49,13.97,0,5.4,11.07,79.43,140.11,15.98334474
1998,nuclear_electricity,16.9,13.18,13.95,0,5.31,11.39,75.24,135.97,15.51106548
1999,nuclear_electricity,15.81,13.36,14.1,0,5.2,13.12,72.07,133.66,15.24754734
2000,nuclear_electricity,18.18,13.59,14.18,0,5.46,16.49,77.34,145.24,16.56856035
2001,nuclear_electricity,19.55,14.75,14.13,0,5.45,17.1,76.17,147.15,16.78644764
2002,nuclear_electricity,20.22,18.74,13.95,0,5.51,17.95,77.99,154.36,17.60894365
2003,nuclear_electricity,17.28,25.87,11.01,0,4.91,17.86,81.41,158.34,18.06297057
2004,nuclear_electricity,16.82,26.33,11.91,0,5.55,17.03,87.02,164.66,18.78393794
2005,nuclear_electricity,18.65,24.73,13.83,0,5.55,17.73,88.76,169.25,19.30755191
2006,nuclear_electricity,19.49,26.05,13.46,0,5.63,18.01,90.22,172.86,19.71937029
2007,nuclear_electricity,14.64,26.17,14.68,0,7.71,15.33,92.54,171.07,19.51517226
2008,nuclear_electricity,15.77,26.55,14.82,0,11.23,16.7,89.84,174.91,19.95322838
2009,nuclear_electricity,15.26,27.21,15.43,0,11.75,14.08,82.92,166.65,19.0109514
2010,nuclear_electricity,15.25,28,15.76,0,11.62,14.57,89.15,174.35,19.8893452
2011,nuclear_electricity,16.31,28.28,15.69,0,11.75,15.41,90.25,177.69,20.27036277
2012,nuclear_electricity,15.78,30.32,15.79,0,11.47,15.49,90.14,178.99,20.41866302
